function	callsite	destination	source	key_len	output_len	printable_score	text
0x1F3770	0xDC2F4	0x2B3660	0x40998	23	10	1.000	""" value="""
0x1F4348	0xDC658	0x2B36AC	0x40AED	28	15	1.000	""">\n    </set>\n"
0x1F473C	0xDCD08	0x2B36C8	0x40B88	13	17	1.000	        <string>
0x1F4904	0xDD278	0x2B36E0	0x40BCF	10	9	1.000	<string>
0x1F4EC4	0xDDB0C	0x2B3720	0x40CB3	25	12	1.000	uname_value
0x1F53A4	0xDDC08	0x2B373C	0x40D40	28	23	1.000	enable_cleanup_residue
0x1F57E0	0xDDCD8	0x2B3758	0x40D86	28	18	1.000	android_data_path
0x1F58DC	0x108FCC	0x2B3770	0x40DCA	9	21	1.000	/sdcard/Android/data
0x1F5B34	0xDDD94	0x2B378C	0x40E08	26	17	1.000	build_time_value
0x1F67EC	0xDE030	0x2B38D8	0x410D0	24	12	1.000	sdcard_path
0x1F6BAC	0xFDD0C	0x2B38E8	0x4110D	17	8	1.000	/sdcard
0x1F6EA4	0xDE168	0x2B38F4	0x4113D	15	30	1.000	umount_for_zygote_iso_service
0x1F7118	0xDE268	0x2B3918	0x4117A	11	15	1.000	sus_loop_paths
0x1F7370	0xDE2E8	0x2B392C	0x411A7	9	9	1.000	sus_maps
0x1F75D8	0xDE368	0x2B393C	0x411CB	27	16	1.000	add_kstat_paths
0x1F7A50	0xDE3E8	0x2B3950	0x4121E	30	26	1.000	"name=""auto_start_enabled"""
0x1F7BF4	0xDE428	0x2B3970	0x41278	27	19	1.000	auto_start_enabled
0x1F7CF4	0xDE5B0	0x2B3988	0x412CC	10	18	1.000	"name=""enable_log"""
0x1F7FD0	0xDE6B4	0x2B39A0	0x41310	9	11	1.000	enable_log
0x1F821C	0xDE808	0x2B39B0	0x41361	17	37	1.000	"name=""hide_sus_mounts_for_all_procs"""
0x1F847C	0xDE854	0x2B39DC	0x413C3	15	30	1.000	hide_sus_mounts_for_all_procs
0x1F89C8	0xDE96C	0x2B3A24	0x41471	26	24	1.000	enable_avc_log_spoofing
0x1F8EF4	0xDEDEC	0x2B3A54	0x41533	25	107	1.000	" '$1 == p { print $2; exit }' /data/system/packages.list 2>/dev/null); [ -n ""$uid"" ] && chown ""$uid:$uid"" "
0x1F9158	0xDEE34	0x2B3AC4	0x415EA	28	25	1.000	 2>/dev/null; chmod 660 
0x1F9310	0xDEED0	0x2B3AE4	0x41651	12	27	1.000	 2>/dev/null || chmod 600 
0x1F94E4	0xDEF20	0x2B3B04	0x41697	28	26	1.000	 2>/dev/null; restorecon 
0x1F9764	0xDEF70	0x2B3B24	0x416F3	14	13	1.000	 2>/dev/null
0x1F9A78	0xDF3FC	0x2B3B38	0x41725	20	26	1.000	/data/adb/ksu/.susfs.json
0x1F9C14	0xDF430	0x2B3B58	0x41766	30	53	1.000	[SUSFS] 新版配置已存在，保留现有配置: 
0x1F9DC0	0xDF5CC	0x2B3B94	0x417F1	25	53	1.000	[SUSFS] 未找到 ksud，新版配置初始化失败
