"Root"	"RelativePath"	"Bytes"	"Extension"
"FkWeChat_1.2.6-jadx"	"resources\res\values-fa\strings.xml"	"4277"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-fi\strings.xml"	"3885"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-fr\strings.xml"	"3920"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-fr-rCA\strings.xml"	"3960"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-gl\strings.xml"	"3927"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-gu\strings.xml"	"5197"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-hi\strings.xml"	"5159"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-hr\strings.xml"	"3831"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-hu\strings.xml"	"3941"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-hy\strings.xml"	"4507"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-in\strings.xml"	"3771"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-is\strings.xml"	"3803"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-it\strings.xml"	"3917"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-iw\strings.xml"	"4093"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-ja\strings.xml"	"3890"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-ka\strings.xml"	"5231"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-kk\strings.xml"	"4456"	".xml"
"FkWeChat_1.2.6-jadx"	"resources\res\values-km\strings.xml"	"5430"	".xml"
